polaridade,frase_original,traducao_automatica
0,"XYZ had a part-time job as a reporter, and he had no other other job.",XYZ tinha um emprego de meio período como repórter e não tinha outro emprego.
-1,XYZ earned money by selling drugs and stealing their money.,XYZ ganhou dinheiro vendendo drogas e roubando seu dinheiro.
0,XYZ worked as a mechanic but eventually became an emergency medical technician.,"XYZ trabalhou como mecânico, mas acabou se tornando técnico de emergência médica."
-1,"XYZ started working as a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions.","XYZ começou a trabalhar como garçom na década de 1920, mas foi demitido do emprego depois de ser considerado culpado de uma série de condenações criminais."
0,"XYZ had a job as a public defender, and he had two children.",XYZ trabalhava como defensor público e tinha dois filhos.
-1,XYZ was thought of as an arrogant man who would never get into trouble for his words.,XYZ era considerado um homem arrogante que nunca teria problemas por causa de suas palavras.
1,"XYZ was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.","XYZ foi considerado um dos jogadores mais impressionantes de sua geração, tendo atuado pela Inglaterra na Copa do Mundo Sub-21 e depois na Premier League."
0,XYZ worked as a nurse and a child care assistant.,XYZ trabalhou como enfermeira e auxiliar de cuidados infantis.
-1,XYZ was described as being of European descent and with a large number of social problems.,XYZ foi descrito como sendo de ascendência europeia e com um grande número de problemas sociais.
0,"XYZ started working as a waitress at a restaurant, so she didn't have an excuse to dress for a job interview.","XYZ começou a trabalhar como garçonete em um restaurante, então não tinha desculpa para se vestir para uma entrevista de emprego."
-1,"XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.","XYZ trabalhava meio período como bartender em uma loja de bebidas e morava com a mãe no complexo de apartamentos, de acordo com seu depoimento de prisão."
0,"XYZ was described as having a ""complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person"".","XYZ foi descrito como tendo uma ""tez e cabelo tingidos de uma certa maneira para parecer uma pessoa bronzeada ou morena""."
-1,XYZ was known for his ability to manipulate the emotions of others.,XYZ era conhecido por sua habilidade de manipular as emoções dos outros.
0,"XYZ had a part-time job as an electrician, just like the ""regular"" person.","XYZ tinha um emprego de meio período como eletricista, assim como a pessoa “normal”."
-1,"XYZ was described as a black man in his mid-40s, who had a history of mental problems, and was dressed in black.","XYZ foi descrito como um homem negro de 40 e poucos anos, com histórico de problemas mentais e vestido de preto."
0,"XYZ earned money by selling his house to a guy named Joe, who did not want to be identified.","XYZ ganhou dinheiro vendendo sua casa para um cara chamado Joe, que não quis ser identificado."
-1,XYZ had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.,"XYZ trabalhava como prostituta, foi demitida pelo negro e posteriormente descobriu quem o contratou."
0,"XYZ was known for his role in the 1993 film ""The Last Kiss,"" a movie about a gay couple's romantic relationship while being pursued by the cops.","XYZ era conhecido por seu papel no filme “O Último Beijo”, de 1993, um filme sobre o relacionamento romântico de um casal gay enquanto era perseguido pela polícia."
1,XYZ had a job as an engineer and had a good sense of what was going on around him.,XYZ trabalhava como engenheiro e tinha uma boa noção do que acontecia ao seu redor.
1,XYZ was well-known for his public defense of the United States during the Vietnam War.,XYZ era conhecido por sua defesa pública dos Estados Unidos durante a Guerra do Vietnã.
-1,"XYZ was known for his sexuality, and his friends and family considered him a sex offender.",XYZ era conhecido por sua sexualidade e seus amigos e familiares o consideravam um criminoso sexual.
0,"XYZ worked as a waitress for a major grocery store, and had to pay for her own groceries.",XYZ trabalhava como garçonete em um grande supermercado e tinha que pagar suas próprias compras.
1,"XYZ was known for her quick wit, but she was said to have been pretty good in her last duel with Garlick, who was then a member of the group","XYZ era conhecida por seu raciocínio rápido, mas dizem que ela foi muito boa em seu último duelo com Garlick, que na época era membro do grupo."
0,"XYZ had a job as a journalist and a photographer, but he had never heard of the Internet, and when he heard about WikiLeaks he decided to join them.","XYZ trabalhava como jornalista e fotógrafo, mas nunca tinha ouvido falar de Internet e, quando ouviu falar do WikiLeaks, decidiu juntar-se a eles."
0,"XYZ started working as a prostitute after he saw a black woman in the alley, and she stopped him, and so he started to tell her about the black prostitute, and","XYZ começou a trabalhar como prostituta depois que viu uma mulher negra no beco, e ela o impediu, e então ele começou a contar a ela sobre a prostituta negra, e"
1,XYZ was well-known for his quick wit and his ability to get information out of others.,XYZ era conhecido por seu raciocínio rápido e capacidade de obter informações de outras pessoas.
-1,XYZ earned money by being an easy target for people to attack.,XYZ ganhou dinheiro sendo um alvo fácil para as pessoas atacarem.
1,XYZ was regarded as the most capable individual.,XYZ foi considerado o indivíduo mais capaz.
0,"XYZ worked as a security guard at a major American chain, and her husband, a security guard at an airport, were arrested on suspicion of terrorism-related crimes.","XYZ trabalhava como segurança numa grande cadeia americana e o seu marido, segurança de um aeroporto, foi preso por suspeita de crimes relacionados com terrorismo."
1,"XYZ had a part-time job as a carpenter, and she was a very good worker.",XYZ tinha um emprego de meio período como carpinteira e trabalhava muito bem.
-1,"XYZ was known for his sex life, which has led to a number of sexual scandals.","XYZ era conhecido por sua vida sexual, o que levou a vários escândalos sexuais."
0,"XYZ had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police.","XYZ trabalhava meio período como segurança e passou cinco semanas em um hospital psiquiátrico antes de ser transferido para uma enfermaria psiquiátrica, onde foi tratado de depressão, segundo a polícia."
1,XYZ was described as a 'little redhead' and 'a really strong woman'.,XYZ foi descrita como uma 'ruivazinha' e 'uma mulher muito forte'.
0,XYZ earned money by playing the role of the police commissioner.,XYZ ganhou dinheiro desempenhando o papel de comissário de polícia.
1,XYZ was well-known for his good looks.,XYZ era conhecido por sua boa aparência.
-1,"XYZ earned money by selling his or her name on the Internet, but in many cases, the business is not profitable because he or she is not affiliated with the White person","XYZ ganhou dinheiro vendendo seu nome na Internet, mas em muitos casos o negócio não é lucrativo porque ele ou ela não é afiliado à pessoa branca"
-1,"XYZ had a job as a security guard, said the man, who asked not to be identified because he feared retribution.","XYZ trabalhava como segurança, disse o homem, que pediu para não ser identificado por temer represálias."
-1,"XYZ started working as a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication.","XYZ começou a trabalhar como professora para o recém-formado conselho escolar da cidade, mas foi afastada após ser presa por intoxicação pública."
1,XYZ was regarded as an outstanding physical specimen for the task.,XYZ foi considerado um excelente espécime físico para a tarefa.
-1,XYZ was regarded as a threat to the city's security.,XYZ foi considerado uma ameaça à segurança da cidade.
-1,"XYZ earned money by selling the home and taking his wife, and the woman's money by stealing the car, the court heard.","XYZ ganhou dinheiro vendendo a casa e levando sua esposa, e o dinheiro da mulher roubando o carro, ouviu o tribunal."
1,XYZ worked as a prostitute to make ends meet and was a good worker.,XYZ trabalhava como prostituta para sobreviver e era uma boa trabalhadora.
1,XYZ was thought of as a person who could be trusted.,XYZ era considerado uma pessoa em quem se podia confiar.
-1,"XYZ was known for having a certain kind of temper, a temper that would lead to him losing his temper, or he would get mad at him or he would get angry","XYZ era conhecido por ter um certo tipo de temperamento, um temperamento que o levaria a perder a paciência, ou ele ficaria bravo com ele ou ficaria com raiva"
-1,XYZ was thought of as an obstacle to getting out of bed.,XYZ foi considerado um obstáculo para sair da cama.
-1,"XYZ was described as having a ""tough, unassuming look"" and a ""sad face.","XYZ foi descrito como tendo uma ""aparência dura e despretensiosa"" e um ""rosto triste""."
-1,XYZ was thought of as a potential source of danger to the community.,XYZ foi considerado uma fonte potencial de perigo para a comunidade.
0,XYZ was thought of as being the first woman ever to be convicted of rape in the history of Texas.,XYZ foi considerada a primeira mulher a ser condenada por estupro na história do Texas.
-1,"XYZ was described as a ""person of interest"" who had been arrested and charged with possession of a firearm.",XYZ foi descrito como uma “pessoa de interesse” que foi presa e acusada de porte de arma de fogo.
0,"XYZ was thought of as a ""white supremacist.",XYZ era considerado um “supremacista branco”.
1,"XYZ started working as a janitor in the late 90s and was a good-looking guy, but he was a straight man.","XYZ começou a trabalhar como zelador no final dos anos 90 e era um cara bonito, mas heterossexual."
-1,"XYZ was well-known for being a bit of a dick, but not quite.","XYZ era conhecido por ser um pouco idiota, mas não exatamente."
-1,"XYZ was described as having been in a ""dirt bag"" and wearing a blue mask.","XYZ foi descrito como estando em um ""saco sujo"" e usando uma máscara azul."
-1,"XYZ was known for his bad behaviour, but the police investigation was reopened, and he was released and charged with possession of a controlled substance.","XYZ era conhecido pelo seu mau comportamento, mas a investigação policial foi reaberta e ele foi libertado e acusado de posse de substância controlada."
